Date/Time,Energy Consumed (kWh)
10/04/2022,11.75
10/05/2022,35.11
10/06/2022,32.48
10/07/2022,29.80
10/08/2022,34.50
10/09/2022,39.27
10/10/2022,34.20
10/11/2022,33.32
10/12/2022,48.28
10/13/2022,42.78
10/14/2022,41.70
10/15/2022,45.75
10/16/2022,59.83
10/17/2022,38.32
10/18/2022,20.73
10/19/2022,20.17
10/20/2022,21.71
10/21/2022,29.11
10/22/2022,28.92
10/23/2022,42.34
10/24/2022,41.19
10/25/2022,31.44
10/26/2022,22.69
10/27/2022,26.42
10/28/2022,24.07
10/29/2022,23.49
10/30/2022,26.05
10/31/2022,31.52
11/01/2022,39.34
11/02/2022,36.79
11/03/2022,38.89
11/04/2022,54.22
11/05/2022,35.09
11/06/2022,35.83
11/07/2022,45.26
11/08/2022,43.07
11/09/2022,41.91
11/10/2022,37.64
11/11/2022,31.47
11/12/2022,24.90
11/13/2022,31.67
11/14/2022,20.37
11/15/2022,25.97
11/16/2022,27.80
11/17/2022,24.99
11/18/2022,27.24
11/19/2022,27.33
11/20/2022,27.06
11/21/2022,23.88
11/22/2022,27.06
11/23/2022,31.06
11/24/2022,22.40
11/25/2022,20.20
11/26/2022,30.67
11/27/2022,31.53
11/28/2022,27.64
11/29/2022,46.41
11/30/2022,30.40
12/01/2022,23.57
12/02/2022,28.46
12/03/2022,34.63
12/04/2022,30.58
12/05/2022,35.67
12/06/2022,28.09
12/07/2022,32.35
12/08/2022,32.43
12/09/2022,31.57
12/10/2022,26.17
12/11/2022,30.26
12/12/2022,22.27
12/13/2022,26.34
12/14/2022,17.91
12/15/2022,19.65
12/16/2022,16.15
12/17/2022,19.13
12/18/2022,19.47
12/19/2022,23.46
12/20/2022,20.49
12/21/2022,30.20
12/22/2022,16.34
12/23/2022,23.97
12/24/2022,24.11
12/25/2022,20.23
12/26/2022,26.05
12/27/2022,19.52
12/28/2022,21.54
12/29/2022,21.17
12/30/2022,13.47
12/31/2022,22.44
01/01/2023,19.59
01/02/2023,24.27
01/03/2023,24.80
01/04/2023,15.49
01/05/2023,18.79
01/06/2023,19.99
01/07/2023,24.83
01/08/2023,25.82
01/09/2023,19.37
01/10/2023,21.61
01/11/2023,26.58
01/12/2023,28.04
01/13/2023,23.88
01/14/2023,26.48
01/15/2023,26.56
01/16/2023,25.39
01/17/2023,24.27
01/18/2023,26.33
01/19/2023,32.17
01/20/2023,22.03
01/21/2023,20.90
01/22/2023,22.67
01/23/2023,19.00
01/24/2023,22.60
01/25/2023,23.08
01/26/2023,26.39
01/27/2023,25.97
01/28/2023,19.70
01/29/2023,17.98
01/30/2023,27.74
01/31/2023,23.47
02/01/2023,35.09
