Date/Time,Energy Produced (kWh)
10/04/2022,2.57
10/05/2022,53.54
10/06/2022,52.96
10/07/2022,25.33
10/08/2022,52.14
10/09/2022,51.88
10/10/2022,51.66
10/11/2022,43.09
10/12/2022,46.29
10/13/2022,35.26
10/14/2022,50.01
10/15/2022,49.21
10/16/2022,45.49
10/17/2022,16.76
10/18/2022,41.82
10/19/2022,53.67
10/20/2022,52.47
10/21/2022,51.94
10/22/2022,47.73
10/23/2022,39.67
10/24/2022,12.22
10/25/2022,52.76
10/26/2022,52.04
10/27/2022,50.46
10/28/2022,10.03
10/29/2022,16.42
10/30/2022,47.60
10/31/2022,42.26
11/01/2022,6.23
11/02/2022,33.73
11/03/2022,27.71
11/04/2022,20.10
11/05/2022,44.46
11/06/2022,23.85
11/07/2022,37.06
11/08/2022,41.14
11/09/2022,36.26
11/10/2022,35.86
11/11/2022,32.02
11/12/2022,47.46
11/13/2022,49.53
11/14/2022,5.97
11/15/2022,29.16
11/16/2022,32.11
11/17/2022,29.35
11/18/2022,22.53
11/19/2022,4.32
11/20/2022,28.80
11/21/2022,6.95
11/22/2022,27.76
11/23/2022,32.08
11/24/2022,2.16
11/25/2022,4.74
11/26/2022,39.64
11/27/2022,46.32
11/28/2022,45.79
11/29/2022,15.66
11/30/2022,46.31
12/01/2022,45.12
12/02/2022,13.38
12/03/2022,15.08
12/04/2022,17.12
12/05/2022,25.87
12/06/2022,17.47
12/07/2022,23.66
12/08/2022,30.90
12/09/2022,27.41
12/10/2022,20.81
12/11/2022,18.38
12/12/2022,6.91
12/13/2022,12.06
12/14/2022,24.27
12/15/2022,45.14
12/16/2022,19.64
12/17/2022,30.19
12/18/2022,37.83
12/19/2022,2.74
12/20/2022,19.27
12/21/2022,18.39
12/22/2022,8.09
12/23/2022,47.24
12/24/2022,46.41
12/25/2022,46.05
12/26/2022,39.05
12/27/2022,45.67
12/28/2022,33.89
12/29/2022,14.19
12/30/2022,20.11
12/31/2022,41.39
01/01/2023,18.80
01/02/2023,10.09
01/03/2023,34.83
01/04/2023,44.91
01/05/2023,44.27
01/06/2023,41.92
01/07/2023,21.13
01/08/2023,39.84
01/09/2023,40.33
01/10/2023,31.69
01/11/2023,27.01
01/12/2023,34.16
01/13/2023,47.52
01/14/2023,46.89
01/15/2023,26.90
01/16/2023,17.96
01/17/2023,29.94
01/18/2023,19.90
01/19/2023,46.31
01/20/2023,6.53
01/21/2023,7.11
01/22/2023,48.58
01/23/2023,46.89
01/24/2023,3.73
01/25/2023,32.87
01/26/2023,47.98
01/27/2023,15.73
01/28/2023,8.25
01/29/2023,2.81
01/30/2023,6.46
01/31/2023,6.78
02/01/2023,4.77
02/02/2023,6.39
02/03/2023,36.58
02/04/2023,50.67
02/05/2023,47.51
02/06/2023,34.04
02/07/2023,20.23
02/08/2023,11.89
02/09/2023,51.39
02/10/2023,36.51
02/11/2023,37.62
02/12/2023,51.95
02/13/2023,46.07
02/14/2023,37.68
02/15/2023,22.35
02/16/2023,11.18
02/17/2023,51.33
02/18/2023,41.03
02/19/2023,47.19
02/20/2023,25.26
02/21/2023,36.87
02/22/2023,33.94
02/23/2023,30.87
02/24/2023,21.83
02/25/2023,37.45
02/26/2023,37.98
02/27/2023,37.63
02/28/2023,46.40
03/01/2023,30.09
03/02/2023,17.05
03/03/2023,55.90
03/04/2023,54.76
03/05/2023,55.07
03/06/2023,25.39
03/07/2023,27.95
03/08/2023,42.54
03/09/2023,42.46
03/10/2023,33.58
03/11/2023,45.19
03/12/2023,33.33
03/13/2023,43.94
03/14/2023,43.54
03/15/2023,55.67
03/16/2023,13.09
03/17/2023,33.46
03/18/2023,15.78
03/19/2023,48.83
03/20/2023,23.22
03/21/2023,19.84
03/22/2023,36.25
03/23/2023,40.80
03/24/2023,21.66
03/25/2023,57.89
03/26/2023,14.70
03/27/2023,27.89
03/28/2023,47.21
03/29/2023,29.48
03/30/2023,18.20
03/31/2023,38.05
04/01/2023,52.47
04/02/2023,24.99
04/03/2023,38.56
04/04/2023,20.94
04/05/2023,13.83
04/06/2023,7.65
04/07/2023,6.17
04/08/2023,28.26
04/09/2023,36.25
04/10/2023,27.65
04/11/2023,49.91
04/12/2023,52.47
04/13/2023,53.18
04/14/2023,27.28
04/15/2023,49.64
04/16/2023,62.64
04/17/2023,60.06
04/18/2023,33.41
04/19/2023,43.60
04/20/2023,18.30
04/21/2023,45.95
04/22/2023,62.53
04/23/2023,12.74
04/24/2023,47.20
04/25/2023,38.36
04/26/2023,34.00
04/27/2023,38.46
04/28/2023,55.41
04/29/2023,43.58
04/30/2023,63.04
05/01/2023,60.81
05/02/2023,44.37
05/03/2023,59.97
05/04/2023,32.47
05/05/2023,48.63
05/06/2023,46.42
05/07/2023,14.96
05/08/2023,24.05
05/09/2023,19.38
05/10/2023,12.09
05/11/2023,41.98
05/12/2023,47.78
05/13/2023,18.31
05/14/2023,38.74
05/15/2023,33.24
05/16/2023,51.29
05/17/2023,52.74
05/18/2023,61.33
05/19/2023,59.52
05/20/2023,54.84
05/21/2023,22.91
05/22/2023,46.67
05/23/2023,49.46
05/24/2023,54.87
05/25/2023,56.95
05/26/2023,58.59
05/27/2023,53.82
05/28/2023,45.36
05/29/2023,38.06
05/30/2023,52.63
05/31/2023,43.12
06/01/2023,49.58
06/02/2023,47.90
06/03/2023,58.45
06/04/2023,36.44
06/05/2023,40.23
06/06/2023,47.49
06/07/2023,56.56
06/08/2023,43.19
06/09/2023,61.67
06/10/2023,53.36
06/11/2023,56.58
06/12/2023,52.90
06/13/2023,56.16
06/14/2023,48.43
06/15/2023,56.89
06/16/2023,57.62
06/17/2023,48.84
06/18/2023,56.03
06/19/2023,59.38
06/20/2023,54.07
06/21/2023,51.84
06/22/2023,51.66
06/23/2023,49.81
06/24/2023,47.54
06/25/2023,55.74
06/26/2023,52.60
06/27/2023,58.30
06/28/2023,57.91
06/29/2023,55.23
06/30/2023,58.27
07/01/2023,58.87
07/02/2023,50.66
07/03/2023,46.45
07/04/2023,32.98
07/05/2023,38.88
07/06/2023,21.41
07/07/2023,35.41
07/08/2023,53.13
07/09/2023,53.19
07/10/2023,56.52
07/11/2023,55.66
07/12/2023,54.19
07/13/2023,58.63
07/14/2023,58.25
07/15/2023,57.64
07/16/2023,56.12
07/17/2023,57.82
07/18/2023,55.81
07/19/2023,57.85
07/20/2023,57.15
07/21/2023,58.07
07/22/2023,56.68
07/23/2023,52.08
07/24/2023,54.61
07/25/2023,52.60
07/26/2023,49.72
07/27/2023,45.34
07/28/2023,49.12
07/29/2023,53.87
07/30/2023,52.97
07/31/2023,55.53
08/01/2023,51.17
08/02/2023,58.11
08/03/2023,50.40
08/04/2023,52.33
08/05/2023,53.34
08/06/2023,55.03
08/07/2023,51.01
08/08/2023,51.72
08/09/2023,51.08
08/10/2023,57.84
08/11/2023,52.89
08/12/2023,51.83
08/13/2023,52.95
08/14/2023,54.08
08/15/2023,56.28
08/16/2023,58.93
08/17/2023,57.52
08/18/2023,56.82
08/19/2023,55.52
08/20/2023,54.48
08/21/2023,46.94
08/22/2023,45.95
08/23/2023,53.92
08/24/2023,53.26
08/25/2023,55.10
08/26/2023,55.62
08/27/2023,54.57
08/28/2023,50.55
08/29/2023,54.52
08/30/2023,52.28
08/31/2023,52.31
09/01/2023,51.46
09/02/2023,53.42
09/03/2023,52.24
09/04/2023,47.93
09/05/2023,47.75
09/06/2023,50.47
09/07/2023,51.51
09/08/2023,55.16
09/09/2023,48.82
09/10/2023,50.80
09/11/2023,49.71
09/12/2023,49.51
09/13/2023,36.85
09/14/2023,26.65
09/15/2023,37.69
09/16/2023,27.63
09/17/2023,53.24
09/18/2023,50.02
09/19/2023,48.56
09/20/2023,47.46
09/21/2023,42.83
09/22/2023,48.12
09/23/2023,39.31
09/24/2023,47.69
09/25/2023,34.83
09/26/2023,44.81
09/27/2023,45.85
09/28/2023,47.58
09/29/2023,45.16
09/30/2023,51.39
10/01/2023,52.27
10/02/2023,52.18
10/03/2023,14.40
10/04/2023,35.06
10/05/2023,10.50
10/06/2023,48.96
10/07/2023,35.10
10/08/2023,48.19
10/09/2023,52.64
10/10/2023,15.51
10/11/2023,17.82
10/12/2023,47.99
10/13/2023,39.15
10/14/2023,44.96
10/15/2023,53.31
10/16/2023,53.47
10/17/2023,52.31
10/18/2023,51.70
10/19/2023,49.15
10/20/2023,50.09
10/21/2023,44.62
10/22/2023,37.38
10/23/2023,35.51
10/24/2023,37.03
10/25/2023,32.18
10/26/2023,26.34
10/27/2023,22.37
10/28/2023,34.03
10/29/2023,24.85
10/30/2023,7.22
10/31/2023,28.53
11/01/2023,51.22
11/02/2023,49.19
11/03/2023,39.08
11/04/2023,40.70
11/05/2023,34.04
11/06/2023,31.96
11/07/2023,42.30
11/08/2023,29.68
11/09/2023,20.60
11/10/2023,6.42
11/11/2023,5.45
11/12/2023,15.85
11/13/2023,4.20
11/14/2023,31.78
11/15/2023,45.86
11/16/2023,8.30
11/17/2023,40.95
