Serial Number,Energy Production (kWh)
202234005006,43.3
202234005922,38.8
202234010771,16.4
202234042318,16.4
202234046451,15.7
202234047620,43.4
202234058794,42.8
202234060278,39.0
202234060899,43.6
202234061000,42.7
202234062114,42.3
202234062135,43.5
202234062206,43.3
202234062247,42.2
202234062274,44.2
202234062391,41.0
202234062476,43.5
202234062738,16.3
202234069056,42.7
202234069613,42.9
202234069633,42.3
202234069649,39.5
202234069657,40.6
202234070331,41.3
202234071040,39.7
202234071262,43.4
Total,990.7
