Serial Number,Energy Production (kWh)
202234005006,57.8
202234005922,53.1
202234010771,51.3
202234042318,51.7
202234046451,50.9
202234047620,57.9
202234058794,57.4
202234060278,52.0
202234060899,58.1
202234061000,57.4
202234062114,56.7
202234062135,57.9
202234062206,57.6
202234062247,57.3
202234062274,55.9
202234062391,57.0
202234062476,57.7
202234062738,51.3
202234069056,57.3
202234069613,57.3
202234069633,57.6
202234069649,51.2
202234069657,57.0
202234070331,57.0
202234071040,53.1
202234071262,57.5
Total,"1,447.1"
