Serial Number,Energy Production (kWh)
202234005006,42.3
202234005922,38.2
202234010771,25.7
202234042318,25.8
202234046451,24.9
202234047620,42.2
202234058794,41.9
202234060278,39.0
202234060899,42.3
202234061000,41.7
202234062114,41.6
202234062135,42.4
202234062206,42.2
202234062247,41.7
202234062274,42.4
202234062391,40.1
202234062476,42.3
202234062738,25.7
202234069056,41.8
202234069613,41.9
202234069633,41.7
202234069649,40.5
202234069657,40.7
202234070331,41.2
202234071040,40.8
202234071262,42.3
Total,"1,013.2"
