Serial Number,Energy Production (kWh)
202234005006,40.4
202234005922,36.2
202234010771,17.6
202234042318,17.7
202234046451,17.0
202234047620,40.4
202234058794,40.0
202234060278,36.5
202234060899,40.6
202234061000,39.8
202234062114,39.5
202234062135,40.6
202234062206,40.4
202234062247,39.5
202234062274,41.1
202234062391,38.4
202234062476,40.5
202234062738,17.5
202234069056,39.8
202234069613,40.1
202234069633,39.4
202234069649,37.4
202234069657,38.1
202234070331,38.8
202234071040,37.6
202234071262,40.5
Total,935.1
