Serial Number,Energy Production (kWh)
202234005006,50.4
202234005922,47.5
202234010771,50.1
202234042318,50.7
202234046451,49.8
202234047620,50.4
202234058794,50.1
202234060278,46.8
202234060899,50.6
202234061000,50.2
202234062114,49.6
202234062135,50.5
202234062206,50.3
202234062247,50.1
202234062274,49.3
202234062391,49.9
202234062476,50.2
202234062738,50.2
202234069056,49.9
202234069613,50.1
202234069633,50.2
202234069649,46.6
202234069657,49.9
202234070331,49.9
202234071040,47.7
202234071262,50.3
Total,"1,291.0"
