Serial Number,Energy Production (kWh)
202234005006,55.6
202234005922,52.2
202234010771,57.6
202234042318,58.0
202234046451,57.2
202234047620,55.6
202234058794,55.3
202234060278,51.7
202234060899,56.0
202234061000,55.4
202234062114,54.5
202234062135,55.7
202234062206,55.5
202234062247,55.4
202234062274,54.2
202234062391,54.7
202234062476,55.5
202234062738,57.6
202234069056,55.2
202234069613,55.3
202234069633,55.4
202234069649,51.4
202234069657,54.9
202234070331,55.1
202234071040,52.6
202234071262,55.4
Total,"1,432.9"
