Serial Number,Energy Production (kWh)
202234005006,42.4
202234005922,39.7
202234010771,33.9
202234042318,34.0
202234046451,33.3
202234047620,42.4
202234058794,42.1
202234060278,38.6
202234060899,42.6
202234061000,42.1
202234062114,41.7
202234062135,42.5
202234062206,42.4
202234062247,42.0
202234062274,42.1
202234062391,41.5
202234062476,42.4
202234062738,33.9
202234069056,42.0
202234069613,42.2
202234069633,42.0
202234069649,39.7
202234069657,41.7
202234070331,41.8
202234071040,40.2
202234071262,42.4
Total,"1,051.6"
