Serial Number,Energy Production (kWh)
202234005006,43.4
202234005922,43.3
202234010771,44.6
202234042318,45.0
202234046451,44.5
202234047620,43.4
202234058794,43.2
202234060278,42.6
202234060899,43.9
202234061000,43.2
202234062114,42.9
202234062135,43.5
202234062206,43.4
202234062247,43.2
202234062274,42.5
202234062391,43.1
202234062476,43.4
202234062738,44.7
202234069056,43.0
202234069613,43.3
202234069633,43.2
202234069649,42.4
202234069657,43.0
202234070331,43.1
202234071040,43.5
202234071262,43.4
Total,"1,128.5"
