Serial Number,Energy Production (kWh)
202234005006,42.0
202234005922,37.0
202234010771,19.5
202234042318,19.5
202234046451,19.0
202234047620,41.9
202234058794,41.5
202234060278,37.3
202234060899,42.4
202234061000,41.3
202234062114,41.1
202234062135,42.3
202234062206,41.9
202234062247,40.9
202234062274,42.8
202234062391,39.8
202234062476,42.2
202234062738,19.8
202234069056,41.2
202234069613,41.5
202234069633,41.0
202234069649,38.6
202234069657,39.7
202234070331,40.3
202234071040,38.7
202234071262,42.0
Total,975.4
