Serial Number,Energy Production (kWh)
202234005006,56.2
202234005922,47.2
202234010771,30.7
202234042318,30.7
202234046451,29.7
202234047620,56.5
202234058794,55.8
202234060278,46.9
202234060899,56.5
202234061000,55.6
202234062114,55.3
202234062135,56.4
202234062206,56.1
202234062247,55.3
202234062274,56.5
202234062391,54.0
202234062476,56.3
202234062738,30.6
202234069056,55.7
202234069613,55.6
202234069633,55.7
202234069649,49.6
202234069657,54.6
202234070331,54.9
202234071040,50.0
202234071262,55.8
Total,"1,318.2"
